0 None
1 [[0, 0, 0], [10, 9, 1]]
2 [[0, 0, 0], [10, 9, 1]]
3 [[0, 0, 0], [10, 9, 1]]
4 [[0, 0, 0], [10, 9, 1]]
5 [[0, 2, 1], [10, 7, 0]]
6 [[0, 1, 0], [10, 8, 1]]
7 [[0, 1, 0], [10, 8, 1]]
8 [[0, 3, 1], [10, 6, 0]]
9 [[0, 2, 0], [10, 7, 1]]
10 [[0, 2, 0], [10, 7, 1]]
11 [[0, 4, 1], [10, 5, 0]]
12 [[0, 3, 0], [10, 6, 1]]
13 [[0, 5, 1], [10, 4, 0]]
14 [[0, 4, 0], [10, 5, 1]]
15 [[0, 6, 1], [10, 3, 0]]
16 [[0, 5, 0], [10, 4, 1]]
17 [[0, 7, 1], [10, 2, 0]]
18 [[0, 6, 0], [10, 3, 1]]
19 [[0, 8, 1], [10, 1, 0]]
20 [[0, 7, 0], [10, 2, 1]]
21 [[0, 9, 1], [10, 0, 0]]
22 [[2, 2, 1], [8, 7, 0]]
23 [[2, 2, 1], [8, 7, 0]]
24 [[2, 1, 0], [8, 8, 1]]
25 [[3, 2, 1], [7, 7, 0]]
26 [[2, 2, 0], [8, 7, 1]]
27 [[3, 3, 1], [7, 6, 0]]
28 [[3, 2, 0], [7, 7, 1]]
29 [[4, 3, 1], [6, 6, 0]]
30 [[3, 3, 0], [7, 6, 1]]
31 [[4, 4, 1], [6, 5, 0]]
32 [[4, 3, 0], [6, 6, 1]]
33 [[5, 4, 1], [5, 5, 0]]
34 [[4, 4, 0], [6, 5, 1]]
35 [[5, 5, 1], [5, 4, 0]]
36 [[5, 4, 0], [5, 5, 1]]
37 [[6, 5, 1], [4, 4, 0]]
38 [[5, 5, 0], [5, 4, 1]]
39 [[6, 6, 1], [4, 3, 0]]
40 [[6, 5, 0], [4, 4, 1]]
41 [[7, 6, 1], [3, 3, 0]]
42 [[6, 6, 0], [4, 3, 1]]
43 [[7, 7, 1], [3, 2, 0]]
44 [[7, 6, 0], [3, 3, 1]]
45 [[8, 7, 1], [2, 2, 0]]
46 [[7, 7, 0], [3, 2, 1]]
47 [[8, 8, 1], [2, 1, 0]]
48 [[8, 7, 0], [2, 2, 1]]
49 [[8, 7, 0], [2, 2, 1]]
50 [[9, 8, 1], [1, 1, 0]]
51 [[8, 8, 0], [2, 1, 1]]
52 [[8, 8, 0], [2, 1, 1]]
53 [[9, 9, 1], [1, 0, 0]]
54 [[9, 8, 0], [1, 1, 1]]
